date,time,sender,message,VADER_Sentiment,Manual_Label,ML_Sentiment
,,system,"05/11/24, 11:02 - Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them. Learn more.",Positive,Neutral,Neutral
,,system,"19/08/24, 20:10 - You created this group",Positive,Neutral,Neutral
20/11/24,14:42,rohxn 03,We need 3 things for fridays submission,Neutral,Neutral,Neutral
,,system,1. Course Project,Neutral,Neutral,Neutral
,,system,2. Report in IEEE Format,Neutral,Neutral,Neutral
,,system,3. Presentation,Neutral,Neutral,Neutral
21/11/24,10:19,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
21/11/24,10:47,Wifey❤️,https://www.slideshare.net/slideshow/attendance-management-system-using-face-recognition/249852705,Neutral,Neutral,Neutral
21/11/24,10:47,Wifey❤️,https://www.slideshare.net/slideshow/face-recognition-attendance-system-85321885/85321885,Neutral,Neutral,Neutral
22/11/24,10:03,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
22/11/24,10:03,rohxn 03,Nishita and ammu.... Pls do check this ppt and tell me if there is any error ok....,Negative,Neutral,Neutral
,,system,Before submission,Neutral,Neutral,Neutral
22/11/24,10:10,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
22/11/24,10:10,rohxn 03,So ppl overall everything is done😏,Neutral,Neutral,Neutral
22/11/24,10:11,rohxn 03,Just submit,Neutral,Neutral,Neutral
22/11/24,10:21,Gass,<Media omitted>,Neutral,Neutral,Neutral
22/11/24,10:22,Gass,In final project submission right?,Neutral,Neutral,Neutral
27/01/25,19:49,rohxn 03,Seriously what the hell she is even reading,Negative,Neutral,Neutral
27/01/25,19:49,rohxn 03,Priya pal😭,Negative,Neutral,Neutral
27/01/25,19:49,Wifey❤️,ayyoo,Neutral,Neutral,Neutral
27/01/25,19:49,Gass,Wt happened da myre,Neutral,Neutral,Neutral
27/01/25,19:50,rohxn 03,Nothing daa.... The online class we r listening,Neutral,Neutral,Neutral
27/01/25,19:50,Wifey❤️,she is from north ig,Neutral,Neutral,Neutral
27/01/25,19:50,Gass,Which online class,Neutral,Neutral,Neutral
27/01/25,19:50,Wifey❤️,soo she cant read it properly,Neutral,Neutral,Neutral
27/01/25,19:50,rohxn 03,Yeah...... Sport vector antha,Positive,Neutral,Neutral
,,system,Its support vector 😭,Negative,Neutral,Neutral
27/01/25,19:50,Wifey❤️,we paid ryt 3600 that one,Neutral,Neutral,Neutral
27/01/25,19:50,Gass,Oh okkk,Neutral,Neutral,Neutral
27/01/25,19:50,Gass,Enjoy,Positive,Neutral,Neutral
27/01/25,19:51,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,19:51,Wifey❤️,and this one classification allaaa kilasification,Neutral,Neutral,Neutral
27/01/25,19:51,rohxn 03,😭😭,Negative,Neutral,Neutral
27/01/25,19:51,rohxn 03,I didn't understand a thing,Neutral,Neutral,Neutral
27/01/25,19:51,Wifey❤️,karmaa,Neutral,Neutral,Neutral
27/01/25,19:51,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:04,Wifey❤️,nishitaa,Neutral,Neutral,Neutral
27/01/25,20:04,Wifey❤️,y u didn't respond ahh,Neutral,Neutral,Neutral
27/01/25,20:04,Wifey❤️,🤭,Positive,Neutral,Neutral
27/01/25,20:04,rohxn 03,She is in some other duniya😭,Negative,Neutral,Neutral
27/01/25,20:06,Nishita 🪰,U read ??,Neutral,Neutral,Neutral
27/01/25,20:06,Wifey❤️,achu read I didn't read😆,Negative,Neutral,Neutral
27/01/25,20:08,Nishita 🪰,I am not able to understand,Neutral,Neutral,Neutral
27/01/25,20:08,Nishita 🪰,Y his making everyone read,Neutral,Neutral,Neutral
27/01/25,20:08,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:09,Wifey❤️,who knows ayyo,Neutral,Neutral,Neutral
27/01/25,20:09,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:12,rohxn 03,Hey i just went to peee......,Neutral,Neutral,Neutral
,,system,And he is taking biology,Neutral,Neutral,Neutral
27/01/25,20:12,rohxn 03,What happened😭😭,Negative,Neutral,Neutral
27/01/25,20:12,rohxn 03,Yaaavoooo........ 👉🏻👈🏻,Neutral,Neutral,Neutral
27/01/25,20:12,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:12,Wifey❤️,correct,Neutral,Neutral,Neutral
27/01/25,20:12,rohxn 03,😏,Neutral,Neutral,Neutral
27/01/25,20:13,Nishita 🪰,He is talking in terms of bioinformatics,Neutral,Neutral,Neutral
27/01/25,20:13,Gass,Myre try this,Neutral,Neutral,Neutral
27/01/25,20:13,Gass,Guna no cheating,Positive,Neutral,Neutral
27/01/25,20:14,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:14,Wifey❤️,ahh illa illa he will read,Neutral,Neutral,Neutral
27/01/25,20:14,Gass,Try try,Neutral,Neutral,Neutral
27/01/25,20:14,rohxn 03,This shit is soo fancy.... Cant read a letter😭,Negative,Neutral,Neutral
27/01/25,20:14,Gass,If its wrong also no problem,Negative,Neutral,Neutral
27/01/25,20:15,Gass,Just a try wtever you can,Neutral,Neutral,Neutral
27/01/25,20:15,rohxn 03,Try giving normal txt can u,Positive,Neutral,Neutral
,,system,Lemme try,Neutral,Neutral,Neutral
27/01/25,20:15,Gass,Ok wait,Positive,Neutral,Neutral
27/01/25,20:15,rohxn 03,To try..... First i have to understand what the shit they wrote rigjt😭,Positive,Neutral,Neutral
27/01/25,20:15,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:15,Gass,This,Neutral,Neutral,Neutral
27/01/25,20:16,rohxn 03,Same font ryt,Neutral,Neutral,Neutral
,,system,Try giving google pics.... So better font it would be,Positive,Neutral,Neutral
27/01/25,20:16,Gass,ಒಂದು ಬೇವರ್ಸಿ ಕುಡುಕ,Neutral,Neutral,Neutral
27/01/25,20:16,Gass,It's the same,Neutral,Neutral,Neutral
